case,track_id,birth_frame,birth_rank,source_similarity,gdino_score,most_similar_existing_track,similarity_to_existing,last_frame,n_observations,lifespan_frames,median_source_similarity,median_gdino_score
Cosmos2.5_0036,T00,0,1,0.9353830814361572,0.7974219918251038,,,92,32,92,0.834947794675827,0.7097271680831909
Cosmos2.5_0036,T01,0,2,0.6408697366714478,0.1143990531563758,,,15,6,15,0.6222976446151733,0.11138282343745226
Cosmos2.5_0036,T02,0,3,0.6119279861450195,0.1016993448138237,,,6,3,6,0.6417263746261597,0.1151273995637893
Cosmos2.5_0036,T03,9,3,0.600932240486145,0.1789017915725708,T01,0.32181650400161743,33,7,24,0.609735906124115,0.2252479195594787
Cosmos2.5_0036,T04,15,2,0.6234102249145508,0.1962819248437881,T01,0.25983133912086487,81,19,66,0.6301881074905396,0.1188314408063888
Cosmos2.5_0036,T05,24,3,0.5788363218307495,0.1157320588827133,T00,0.193168044090271,45,5,21,0.6245617866516113,0.1157320588827133
Cosmos2.5_0036,T06,42,3,0.6082054376602173,0.1947665959596634,T04,0.12112658470869064,92,16,50,0.6145143210887909,0.24013414978981015
Cosmos2.5_0036,T07,63,3,0.5969623327255249,0.1233894377946853,T00,0.16259121894836426,69,2,6,0.5884908735752106,0.1241749674081802
Cosmos2.5_0036,T08,78,3,0.5915676355361938,0.1315712928771972,T00,0.17043769359588623,78,1,0,0.5915676355361938,0.1315712928771972
Cosmos2.5_0036,T09,84,2,0.6658966541290283,0.1056071892380714,T00,0.3790394067764282,90,3,6,0.6194045543670654,0.1056071892380714
Cosmos2.5_0036,T10,90,2,0.6536719799041748,0.1114486157894134,T00,0.47152411937713623,92,2,2,0.655659019947052,0.10822550207376475
Cosmos2.5_0057,T00,0,1,0.9722316861152648,0.7040800452232361,,,92,31,92,0.7648847103118896,0.4964669942855835
Cosmos2.5_0057,T01,0,2,0.7249230146408081,0.1103783175349235,,,15,6,15,0.692161500453949,0.11026779934763906
Cosmos2.5_0057,T02,0,3,0.7109590768814087,0.1006798893213272,,,90,30,90,0.7443287670612335,0.19057548046112055
Cosmos2.5_0057,T03,18,3,0.7204992175102234,0.1669506430625915,T02,0.4730634391307831,36,7,18,0.7377593517303467,0.1432353556156158
Cosmos2.5_0057,T04,36,2,0.7580626010894775,0.1169222965836525,T03,0.27511903643608093,92,19,56,0.7142696380615234,0.1585972309112548
Cosmos2.5_0057,T05,90,2,0.609154462814331,0.2382927983999252,T02,0.22893878817558289,90,1,0,0.609154462814331,0.2382927983999252
Cosmos2.5_0057,T06,90,3,0.6064136028289795,0.1175981611013412,T02,0.1751948744058609,92,2,2,0.606544017791748,0.1187430024147033
Cosmos3_seed101_0039,T00,0,1,0.9609690308570862,0.7446960210800171,,,188,63,188,0.869088888168335,0.7164164781570435
Cosmos3_seed101_0039,T01,0,2,0.6626429557800293,0.1213861480355262,,,15,4,15,0.6685230731964111,0.122180126607418
Cosmos3_seed101_0039,T02,0,3,0.6612504720687866,0.1285450160503387,,,141,48,141,0.6656337976455688,0.1386545151472091
Cosmos3_seed101_0039,T03,6,3,0.662163496017456,0.1383332014083862,T00,0.18605153262615204,30,7,24,0.6661372184753418,0.1454639136791229
Cosmos3_seed101_0039,T04,33,3,0.6560239791870117,0.1476062834262848,T02,0.37968969345092773,75,12,42,0.6620350182056427,0.1102226115763187
Cosmos3_seed101_0039,T05,39,3,0.6467263102531433,0.14238902926445,T00,0.21746841073036194,45,2,6,0.6409123837947845,0.13713555037975306
Cosmos3_seed101_0039,T06,66,3,0.6271501779556274,0.1112589016556739,T00,0.18290811777114868,66,1,0,0.6271501779556274,0.1112589016556739
Cosmos3_seed101_0039,T07,78,3,0.6325565576553345,0.1278048604726791,T00,0.2186104655265808,126,15,48,0.6284099221229553,0.1365342140197754
Cosmos3_seed101_0039,T08,90,3,0.6418452262878418,0.1385456770658493,T02,0.4018932282924652,90,1,0,0.6418452262878418,0.1385456770658493
Cosmos3_seed101_0039,T09,102,3,0.6429198980331421,0.1030844822525978,T02,0.2816672921180725,102,1,0,0.6429198980331421,0.1030844822525978
Cosmos3_seed101_0039,T10,129,3,0.6310859322547913,0.1135680451989173,T02,0.28666526079177856,129,1,0,0.6310859322547913,0.1135680451989173
Cosmos3_seed101_0039,T11,132,1,0.8105001449584961,0.1195816919207573,T00,0.18685296177864075,188,20,56,0.7777581214904785,0.3756324350833893
Cosmos3_seed101_0039,T12,144,1,0.8316018581390381,0.1679422259330749,T11,0.605713963508606,162,6,18,0.6765323579311371,0.1824441328644752
Cosmos3_seed101_0039,T13,159,3,0.7098919153213501,0.1242401599884033,T00,0.45985057950019836,188,10,29,0.7534493207931519,0.5874087810516357
Cosmos3_seed101_0039,T14,171,3,0.663213312625885,0.2035606205463409,T13,0.3099752962589264,171,1,0,0.663213312625885,0.2035606205463409
Cosmos3_seed101_0049,T00,0,1,0.9696760773658752,0.8288022875785828,,,188,64,188,0.9481782913208008,0.7945401072502136
Cosmos3_seed101_0049,T01,111,2,0.6826203465461731,0.1076591908931732,T00,0.3716126084327698,129,5,18,0.6210812330245972,0.1076591908931732
Cosmos3_seed101_0049,T02,114,2,0.6209700107574463,0.1035143062472343,T00,0.13959378004074097,135,7,21,0.6229407787322998,0.1153947040438652
Cosmos3_seed101_0049,T03,129,2,0.6693378686904907,0.1375878304243087,T00,0.5057628154754639,129,1,0,0.6693378686904907,0.1375878304243087
Cosmos3_seed101_0049,T04,147,1,0.8662733435630798,0.1458035558462143,T00,0.6919069290161133,147,1,0,0.8662733435630798,0.1458035558462143
Cosmos3_seed101_0049,T05,147,2,0.8418653011322021,0.1285769790410995,T00,0.6893633604049683,147,1,0,0.8418653011322021,0.1285769790410995
Cosmos3_seed101_0049,T06,156,2,0.5867058038711548,0.1007272377610206,T00,0.1435074806213379,165,3,9,0.5897045731544495,0.103495568037033
Cosmos3_seed101_0049,T07,165,2,0.6477257609367371,0.1243727579712867,T00,0.49406135082244873,177,4,12,0.6603981256484985,0.1417676396667957
